ID,Parent,Type,Images,Nicotine Product,Brands,SKU,Name,Short description,Description,Bowl Size,Weight (lbs),Length (in),Width (in),Height (in),,Tax status,Tax class,,Stock,Low stock amount,,,,Sale price,Regular price,Categories,Tags,Shipping class,,,,,,,Cross-sells,,Button text,,,,Visibility in catalog,,,,,,,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,,,,,,,,,,,,,,,,
9740,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9192.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9189.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9190.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9192.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9196.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9199.png",FALSE,CRAVE,,Crave Glass Disco Ball Water Pipe |REF: C-RO 1201|,"This Crave Glass disco ball water pipe will be the highlight of the party. The eye catching colorful enclosed disco ball filters the smoke before it passes through the shower head perc to ensure a smooth hit.. This bong stands at 8"" tall with a smooth rounded grip and colored accents.
\n<ul>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Shower head perc</strong></li>
\n 	<li><strong>Disco ball filter</strong></li>
\n 	<li><strong>Height 8""</strong></li>
\n</ul>",This Crave Glass disco water pipe will be the highlight of the party. The eye catching colorful disco ball percolator filters the smoke for a smooth hit every time.,,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Milk Green, Milk Pink, Milk Purple, Milk Blue, Light Green",1,,,,,,,,,,,,,,,,,,,,,
9741,id:9740,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9190.png,FALSE,CRAVE,C-RO 1201 Milk Green,Crave Glass Disco Ball Water Pipe |REF: C-RO 1201|,,,,,,,,,taxable,parent,,,,,,,,28,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Green,,,,,,,,,,,,,,,,,,,,,,
9742,id:9740,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9199.png,FALSE,CRAVE,C-RO 1201 - Pink,Crave Glass Disco Ball Water Pipe |REF: C-RO 1201|,,,,,,,,,taxable,parent,,,,,,,,28,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Pink,,,,,,,,,,,,,,,,,,,,,,
9743,id:9740,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9189.png,FALSE,CRAVE,C-RO 1201 - Milk Purple,Crave Glass Disco Ball Water Pipe |REF: C-RO 1201|,,,,,,,,,taxable,parent,,,,,,,,28,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Purple,,,,,,,,,,,,,,,,,,,,,,
9744,id:9740,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9192.png,FALSE,CRAVE,C-RO 1201 - Milk Blue,Crave Glass Disco Ball Water Pipe |REF: C-RO 1201|,,,,,,,,,taxable,parent,,,,,,,,28,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Blue,,,,,,,,,,,,,,,,,,,,,,
9745,id:9740,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9196.png,FALSE,CRAVE,C-RO 1201 - Light Green,Crave Glass Disco Ball Water Pipe |REF: C-RO 1201|,,,,,,,,,taxable,parent,,,,,,,,28,,,,,,,,,,,,,,,visible,,,,,,,Color,Light Green,,,,,,,,,,,,,,,,,,,,,,
9753,,simple,"https://sigdistro.com/wp-content/uploads/2023/04/Zengaz-Zt-70-Disco.png, https://sigdistro.com/wp-content/uploads/2023/04/Zengaz-Zt-70-Disco.png, https://sigdistro.com/wp-content/uploads/2023/04/Zengaz-ZT-70-3.png, https://sigdistro.com/wp-content/uploads/2023/04/Zengaz-ZT-70-2.png, https://sigdistro.com/wp-content/uploads/2023/04/Zengaz-ZT-70-.png",FALSE,ZENGAZ,,Zengaz Model ZT-70 Torch Lighter Deal |REF: ZT-70|,"<strong>BUY 1 CASE</strong> of Model ZT-70 Jet Lighter and receive a <strong>FREE</strong> Zengaz Disco Display!
\n
\nZengaz light it up again with their Model ZT-70 Jet Lighter, a simple yet dynamic design, ergonomic shape, removable stand and flame-lock switch. Each torch comes with a uniquely designed patterned handle.
\n<ul>
\n 	<li>Refillable Jet Lighter</li>
\n 	<li>Patterned Handle</li>
\n 	<li>Windproof</li>
\n 	<li>Hempwick Included</li>
\n 	<li>Simple refill</li>
\n</ul>
\n<strong>!!YOU DO NOT WANT TO MISS OUT ON THIS DEAL!!</strong>
\n
\n-72 mixed pieces per case
\n
\nEasily refillable by inserting the butane cannister tip into the opening at the bottom of the torch.
\n
\n&nbsp;","Buy 1 case ZT-70 and get 1 Disco Display for FREE!
\n
\nZengaz light it up again with their Model ZT-70 Jet Torch Lighter, a simple yet dynamic design, ergonomic shape, removable stand and flame-lock switch. Each torch lighter is uniquely designed with a printed pattern on the handle and comes with a hempwick. Easily refillable by inserting the butane cannister tip into the opening at the bottom of the torch.
\n
\n-72 mixed pieces per case
\n
\nFor Zengaz wholesale give us a call!
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;",,,,,,,taxable,,,,,,,,,180,"Torches > Displays, Torches > Lighters, Torches","Torches, Trending, Value",,,,,,,,,,,,,visible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9799,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9217.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9215.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9216.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9217.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9218.png",FALSE,CRAVE,,Crave Glass Long Mouthpiece Rig |REF: C-RO 1210|,"This Crave Glass rig is fitted with a circle percolator and long mouth piece to help with anti-splash. The smoke will pull through the circle perc before traveling and circling around the rounded part of the mouthpiece before being inhaled for a smooth hit.
\n<ul>
\n 	<li><strong>Circle percolator</strong></li>
\n 	<li><strong>Long mouthpiece</strong></li>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Height 5"" </strong></li>
\n</ul>",This Crave Glass rig is fitted with a circle percolator and long mouth piece to help with anti-splash. The features of this rig are simple but effective in recycling the smoke. This small rig is perfect for every day use with four colors to choose from.,,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Dab Rigs, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Smoke Grey, Teal, Amber, Blue",1,,,,,,,,,,,,,,,,,,,,,
9801,id:9799,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9218.png,FALSE,CRAVE,C-RO 1210 - Smoke Grey,Crave Glass Long Mouthpiece Rig |REF: C-RO 1210|,,,,,,,,,taxable,parent,,,,,,,,18,,,,,,,,,,,,,,,visible,,,,,,,Color,Smoke Grey,,,,,,,,,,,,,,,,,,,,,,
9802,id:9799,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9215.png,FALSE,CRAVE,C-RO 1210 - Teal,Crave Glass Long Mouthpiece Rig |REF: C-RO 1210|,,,,,,,,,taxable,parent,,,,,,,,18,,,,,,,,,,,,,,,visible,,,,,,,Color,Teal,,,,,,,,,,,,,,,,,,,,,,
