ID,Parent,Type,Images,Nicotine Product,Brands,SKU,Name,Short description,Description,Bowl Size,Weight (lbs),Length (in),Width (in),Height (in),,Tax status,Tax class,,Stock,Low stock amount,,,,Sale price,Regular price,Categories,Tags,Shipping class,,Nicotine_Product,,,,Cross-sells,,Button text,,,,Visibility in catalog,,,,,,,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,,,,,,,,,,,,,,,,,
14,,variable,https://sigdistro.com/wp-content/uploads/2021/12/SQ-1.png,FALSE,Limited Edition,Gl-LE-Beaker-Bong,'-Limited Edition- Engraved Beaker |REF: SQ-01|,Discover the Limited Edition Engraved Beaker Ref SQ-01 at SIG DISTRO. Unique design and premium quality. Order yours now before it’s gone!,"Experience sophistication in every puff with our Limited Edition Engraved Beaker (Ref-SQ-01). Meticulously designed, this beaker bong is a testament to craftsmanship and style. Ideal for those who appreciate unique pieces, this limited edition beaker is available for glass bong wholesale, making it a valuable addition to your glass bong collection.",,,,,,,taxable,,,,,,,,,,"Smoking Pipes > Glass Water Pipes, Sale, Smoking Pipes","Beakers, Engraved, Sale, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Title,Default Title,1,,Water Pipes Product Type,Beaker,1,,,,,,,,,,,,,,,,,
15,id:14,variation,,FALSE,,,'-Limited Edition- Engraved Beaker |REF: SQ-01|,Discover the Limited Edition Engraved Beaker Ref SQ-01 at SIG DISTRO. Unique design and premium quality. Order yours now before it’s gone!,,,,,,,,taxable,parent,,,,,,,20,35,,,,,,,,,,,,,,,visible,,,,,,,Title,Default Title,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
17,,variable,https://sigdistro.com/wp-content/uploads/2021/12/U-15.png,FALSE,,,'-Limited Edition- Engraved Beaker |REF: U-15|,,"Unleash your style with our Limited Edition Engraved Beaker (Ref-U-15). Exquisite engraving meets functionality in this one-of-a-kind piece. Perfect for collectors and smokers alike, this beaker is available for glass bong wholesale, ensuring your inventory stands out with elegance and quality.",,,,,,,taxable,,,,,,,,,,"Smoking Pipes > Glass Water Pipes, Sale, Smoking Pipes","Beakers, Engraved, Sale, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"light blue, green, blue, black, aqua",1,,Water Pipes Product Type,Beaker,1,,,,,,,,,,,,,,,,,
18,id:17,variation,,FALSE,,,'-Limited Edition- Engraved Beaker |REF: U-15|,,,,,,,,,taxable,parent,,,,,,,20,40,,,,,,,,,,,,,,,visible,,,,,,,Color,light blue,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
19,id:17,variation,,FALSE,,,'-Limited Edition- Engraved Beaker |REF: U-15|,,,,,,,,,taxable,parent,,,,,,,20,40,,,,,,,,,,,,,,,visible,,,,,,,Color,green,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
20,id:17,variation,,FALSE,,,'-Limited Edition- Engraved Beaker |REF: U-15|,,,,,,,,,taxable,parent,,,,,,,20,40,,,,,,,,,,,,,,,visible,,,,,,,Color,blue,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
21,id:17,variation,,FALSE,,,'-Limited Edition- Engraved Beaker |REF: U-15|,,,,,,,,,taxable,parent,,,,,,,20,40,,,,,,,,,,,,,,,visible,,,,,,,Color,black,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
22,id:17,variation,,FALSE,,,'-Limited Edition- Engraved Beaker |REF: U-15|,,,,,,,,,taxable,parent,,,,,,,20,40,,,,,,,,,,,,,,,visible,,,,,,,Color,aqua,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
24,,variable,https://sigdistro.com/wp-content/uploads/2021/12/yks01hearts.png,FALSE,,,'-Limited Edition- Engraved Beaker |REF: YKS-01|,Shop the Limited Edition Engraved Beaker Ref YKS-01 from SIG DISTRO. High-quality craftsmanship and unique design. Don’t miss out—order now!,,,,,,,,taxable,,,,,,,,,,"Smoking Pipes > Glass Water Pipes, Smoking Pipes","Beakers, Engraved, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Style,"hearts, squares",1,,Water Pipes Product Type,Beaker,1,,,,,,,,,,,,,,,,,
25,id:24,variation,https://sigdistro.com/wp-content/uploads/2021/12/yks01hearts.png,FALSE,,,'-Limited Edition- Engraved Beaker |REF: YKS-01|,Shop the Limited Edition Engraved Beaker Ref YKS-01 from SIG DISTRO. High-quality craftsmanship and unique design. Don’t miss out—order now!,,,,,,,,taxable,parent,,,,,,,,35,,,,,,,,,,,,,,,visible,,,,,,,Style,hearts,,,Water Pipes Product Type,,,,,,,,,,,,,,,,,,,
